wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q714330,Dmitry Kozak,Dmitry Kozak,male,1958-11-07T00:00:00Z,11,,Q1965788,First Deputy Chairman of the Government of the Russian Federation,q714330-e9d37e36-4e86-682f-d4fe-c8e0bc8855b2
Q23530,Dmitry Medvedev,Dmitry Medvedev,male,1965-09-14T00:00:00Z,11,,Q1965788,First Deputy Chairman of the Government of the Russian Federation,Q23530-96b0d416-4f19-68e4-2f30-e9e956a561d1
Q737463,Dmitry Rogozin,Dmitry Rogozin,male,1963-12-21T00:00:00Z,11,,Q1965788,First Deputy Chairman of the Government of the Russian Federation,q737463-18a7e9db-40b7-4eb7-5d78-5cb0c85c9f27
Q45837991,Maxim Akimov,Maxim Akimov,male,1970-03-01T00:00:00Z,11,,Q14805701,Deputy Chairman of the Government of the Russian Federation,Q45837991-10DBCB59-9F50-4EDE-A2DE-F0F06B945F22
Q5626203,Maxim Oreshkin,Maxim Oreshkin,male,1982-07-21T00:00:00Z,11,,Q8631276,Ministry of Economic Development of Russian Federation,Q5626203-844b65a2-4169-addb-8f1e-6208e47eb3dd
Q4298520,Mikhail Mishustin,Mikhail Mishustin,male,1966-03-03T00:00:00Z,11,,Q842386,Prime Minister of Russia,Q4298520-41ca63fb-4cb5-cec6-7b5f-9e0fae9d8681
Q3350421,Olga Golodets,Olga Golodets,female,1962-06-01T00:00:00Z,11,,Q1965788,First Deputy Chairman of the Government of the Russian Federation,q3350421-0012eccd-4188-015f-e260-4121732a45e6
Q26393510,Olga Vasilyeva,Olga Vasilyeva,female,1960-01-13T00:00:00Z,11,,Q2625105,Ministry of Education and Science of the Russian Federation,Q26393510-cb654cb7-43b5-c12e-9902-0b0082c91791
Q2272602,Sergey Prikhodko,Sergey Prikhodko,male,1957-01-12T00:00:00Z,11,,Q1965788,First Deputy Chairman of the Government of the Russian Federation,q2272602-26ecd232-4248-1e1f-8d5b-6428d0dd1a63
Q1320356,Yuri Trutnev,Yuri Trutnev,male,1956-03-01T00:00:00Z,11,,Q14805701,Deputy Chairman of the Government of the Russian Federation,Q1320356-13434326-4f0e-76c8-53a9-632aa91155ed
