@@,itemlabel,item,startdate,enddate
---,Александр Александрович Авдеев,Q28495038,2016,2021
->,"Александр Александрович Балберов->Балберов, Александр Александрович",Q19613408,2011-12-04,2016-10-05
->,"Александр Александрович Карелин->Карелин, Александр Александрович",Q187247,2007-12-24->2011-12-21,2021-09-01->2016-10-05
->,"Александр Александрович Ремезков->Ремезков, Александр Александрович",Q16691842,2011-12-21,2016-10-05
->,"Александр Андреевич Ющенко->Ющенко, Александр Андреевич",Q21131026,2011-12-04,2016-10-05
->,"Александр Васильев->Васильев, Александр Николаевич",Q16629325,2011-12-21,2016-10-05
->,"Александр Владимирович Ильтяков->Ильтяков, Александр Владимирович",Q15067417,2011-12-21,2016-10-05
->,"Александр Владимирович Кретов->Кретов, Александр Владимирович",Q28498429,2011-12-21,2016-10-05
->,"Александр Владимирович Потапов->Потапов, Александр Владимирович",Q28862235,2011-12-04,2016-10-05
->,"Александр Дмитриевич Жуков->Жуков, Александр Дмитриевич",Q57735,2011-12-21,2016-10-05
->,"Александр Дмитриевич Куликов->Куликов, Александр Дмитриевич",Q4246187,2011-12-04,2016-10-05
->,"Александр Евсеевич Хинштейн->Хинштейн, Александр Евсеевич",Q4497838,2011-12-21,2016-10-05
->,"Александр Иванович Скоробогатько->Скоробогатько, Александр Иванович",Q4422296,2011-12-21,2016-10-05
->,"Александр Леонидович Бурков->Бурков, Александр Леонидович",Q4099632,2011-12-15,2016-10-05
->,"Александр Леонидович Романович->Романович, Александр Леонидович",Q22246961,2011-12-15,2016-10-05
->,"Александр Михайлович Бабаков->Бабаков, Александр Михайлович",Q2833421,2011-12-21,2016-10-05
->,"Александр Николаевич Некрасов->Некрасов, Александр Николаевич",Q28500050,2011-12-04,2016-10-05
->,"Александр Петров->Петров, Александр Петрович",Q22976341,2011-12-21,2016-10-05
->,"Александр Сергеевич Старовойтов->Старовойтов, Александр Сергеевич",Q28500608,2011-12-04,2016-10-05
->,"Алексей Александрович Журавлёв->Журавлёв, Алексей Александрович",Q4181748,2011-12-21,2016-10-05
->,"Алексей Алексеевич Лысяков->Лысяков, Алексей Алексеевич",Q28498998,2011-12-17,2016-10-05
---,Алексей Валерианович Канаев,Q60329384,2016,
->,"Алексей Васильевич Чепа->Чепа, Алексей Васильевич",Q27926049,2011-12-15,2016-10-05
->,"Алексей Евгеньевич Бобраков->Бобраков, Алексей Евгеньевич",Q28496534,2011-12-21,2016-10-05
->,"Алексей Митрофанов->Митрофанов, Алексей Валентинович",Q4296811,2011-12-15,2016-10-05
->,"Алексей Николаевич Диденко->Диденко, Алексей Николаевич",Q19521683,2011-12-04,2016-10-05
->,"Алексей Николаевич Ткачёв->Ткачёв, Алексей Николаевич",Q27230932,2011-12-21,2016-10-05
->,"Алексей Юрьевич Русских->Русских, Алексей Юрьевич",Q4400897,2011-12-04,2016-10-05
->,"Алимова Ольга Николаевна->Алимова, Ольга Николаевна",Q4062385,2011-12-04,2016-10-05
->,"Алина Маратовна Кабаева->Кабаева, Алина Маратовна",Q254220,2007->2011-12-21,2014-09-15->2016-10-05
---,Алёна Игоревна Аршинова,Q4071033,2012-03-28,
->,"Анатолий Евгеньевич Карпов->Карпов, Анатолий Евгеньевич",Q131674,2011-12-21,2016-10-05
->,"Анатолий Евгеньевич Локоть->Локоть, Анатолий Евгеньевич",Q4265976,2011-12-04,2016-10-05
->,"Анатолий Николаевич Грешневиков->Грешневиков, Анатолий Николаевич",Q4148825,2011-12-15,2016-10-05
->,"Андрей Анатольевич Андреев->Андреев, Андрей Анатольевич",Q4065431,2011-12-04,2016-10-05
->,"Андрей Владимирович Скоч->Скоч, Андрей Владимирович",Q4422468,2011-12-21,2016-10-05
->,"Андрей Джафарович Тычинин->Тычинин, Андрей Джафарович",Q28500708,2011-12-04,2016-10-05
->,"Андрей Юрьевич Воробьёв->Воробьёв, Андрей Юрьевич",Q502185,2011-12-21,2016-10-05
---,Анна Александровна Кувычко,Q43231501,2016-09-18,2021-10-12
->,"Антон Викторович Жарков->Жарков, Антон Викторович",Q4178234,2011-12-21,2016-10-05
->,"Балаш Курбанмагомедович Балашов->Балашов, Балаш Курбанмагомедович",Q28496290,2011-12-21,2016-10-05
->,"Бекхан Вахаевич Агаев->Агаев, Бекхан Вахаевич",Q86830849,2011-12-21,2016-10-05
->,"Борис Викторович Иванюженков->Иванюженков, Борис Викторович",Q21099076,2011-12-04,2016-10-05
->,"Борис Давыдович Зубицкий->Зубицкий, Борис Давыдович",Q4194287,2011-12-21,2016-10-05
->,"Борис Кашин->Кашин, Борис Сергеевич",Q4218102,2011-12-04,2016-10-05
->,"Вадим Валентинович Кумин->Кумин, Вадим Валентинович",Q53562638,2011-12-04,2016-10-05
->,"Вадим Владимирович Белоусов->Белоусов, Вадим Владимирович",Q28496499,2011-12-21,2016-10-05
->,"Вадим Деньгин->Деньгин, Вадим Евгеньевич",Q16643001,2011-12-04,2016-10-05
->,"Валентина Владимировна Терешкова->Терешкова, Валентина Владимировна",Q44371,2011->2011-12-21,NULL->2016-10-05
->,"Валерий Александрович Черешнев->Черешнев, Валерий Александрович",Q4512985,2007-12-24->2011-12-15,2016-10-05
->,"Валерий Карлович Гартунг->Гартунг, Валерий Карлович",Q4133962,2011-12-15,2016-10-05
->,"Валерий Михайлович Зубов->Зубов, Валерий Михайлович",Q4194353,2011-12-15,2016-10-05
->,"Валерий Фёдорович Рашкин->Рашкин, Валерий Фёдорович",Q4391353,2011-12-04,2016-10-05
->,"Василий Александрович Стародубцев->Стародубцев, Василий Александрович",Q553544,2011-12-04,2016-10-05
->,"Василий Васильевич Журко->Журко, Василий Васильевич",Q28498031,2011-12-04,2016-10-05
->,"Василий Георгиевич Швецов->Швецов, Василий Георгиевич",Q28500910,2011-12-15,2016-10-05
->,"Василий Николаевич Лихачёв->Лихачёв, Василий Николаевич",Q4264140,2011-12-04,2016-10-05
->,"Василина Васильевна Кулиева->Кулиева, Василина Васильевна",Q19618650,2011-12-04,2016-10-05
->,"Ваха Абуевич Агаев->Агаев, Ваха Абуевич",Q20090063,2011-12-04,2016-10-05
->,"Вахаев, Хож-Магомед Хумайдович->Вахаев, Хож Магомед Хумайдович",Q91190820,2011-12-21,2016-10-05
->,"Виктор Иванович Гончаров->Гончаров, Виктор Иванович",Q56755181,2011-12-21->2011-12-04,2016-10-05
---,Виктор Николаевич Карамышев,Q16661684,2016-09-18,2019-06
->,"Владимир Абдуалиевич Васильев->Васильев, Владимир Абдуалиевич",Q4104566,2011-12-21,2016-10-05
->,"Владимир Алексеевич Пехтин->Пехтин, Владимир Алексеевич",Q4361931,1999->2011-12-21,2013-02-20->2016-10-05
->,"Владимир Бортко->Бортко, Владимир Владимирович",Q984154,2011-12-04,2016-10-05
->,"Владимир Владимирович Гутенёв->Гутенёв, Владимир Владимирович",Q15065685,2011-12-21,2016-10-05
->,"Владимир Вольфович Жириновский->Жириновский, Владимир Вольфович",Q200015,2011-12-04,2016-10-05
->,"Владимир Иванович Бессонов->Бессонов, Владимир Иванович",Q4085843,2011-12-04,2016-10-05
->,"Владимир Иванович Долгих->Долгих, Владимир Иванович",Q2544308,2011-12-21,2016-10-05
->,"Владимир Леонидович Шемякин->Шемякин, Владимир Леонидович",Q90249940,2011-12-21,2016-10-05
->,"Владимир Николаевич Плигин->Плигин, Владимир Николаевич",Q4365068,2011-12-21,2016-10-05
->,"Владимир Романович Родин->Родин, Владимир Романович",Q28851887,2011-12-04,2016-10-05
->,"Владислав Александрович Третьяк->Третьяк, Владислав Александрович",Q316864,2011-12-21,2016-10-05
->,"Владислав Матусович Резник->Резник, Владислав Матусович",Q4392436,2011-12-21,2016-10-05
->,"Вячеслав Евгеньевич Позгалёв->Позгалёв, Вячеслав Евгеньевич",Q1958500,2011-12-21,2016-10-05
->,"Вячеслав Михайлович Мархаев->Мархаев, Вячеслав Михайлович",Q22919490,2011-12-04,2016-10-05
->,"Галина Николаевна Карелова->Карелова, Галина Николаевна",Q4214910,2011-12-21,2016-10-05
->,"Геннадий Андреевич Зюганов->Зюганов, Геннадий Андреевич",Q182452,1993-12-12->2011-12-04,NULL->2016-10-05
->,"Геннадий Васильевич Кулик->Кулик, Геннадий Васильевич",Q4246171,2011-12-21,2016-10-05
->,"Геннадий Владимирович Гудков->Гудков, Геннадий Владимирович",Q555125,2011-12-15,2016-10-05
+++,"Герасименко, Николай Фёдорович",,2011-12-21,2016-10-05
->,"Григорий Артёмович Балыхин->Балыхин, Григорий Артёмович",Q55104097,2011-12-21,2016-10-05
->,"Григорий Петрович Ледков->Ледков, Григорий Петрович",Q18044235,2011-12-21,2016-10-05
->,"Дегтярев, Александр Николаевич->Дегтярёв, Александр Николаевич",Q4156598,2011-12-21,2016-10-05
->,"Денис Николаевич Вороненков->Вороненков, Денис Николаевич",Q19817635,2011-12-21->2011-12-04,2016-10-05
->,"Дмитрий Александрович Свищев->Свищёв, Дмитрий Александрович",Q28543758,2011-12-04,2016-10-05
->,"Дмитрий Вадимович Саблин->Саблин, Дмитрий Вадимович",Q4403533,2011-12-21,2016-10-05
->,"Дмитрий Геннадьевич Гудков->Гудков, Дмитрий Геннадьевич",Q4151599,2011-12-15,2016-10-05
->,"Дмитрий Георгиевич Новиков->Новиков, Дмитрий Георгиевич",Q4322667,2011-12-04,2016-10-05
->,"Дмитрий Ушаков->Ушаков, Дмитрий Владимирович",Q19861739,2011-12-15,2016-10-05
->,"Дмитрий Фёдорович Вяткин->Вяткин, Дмитрий Фёдорович",Q28497318,2011-12-21,2016-10-05
->,"Дмитрий Юрьевич Носов->Носов, Дмитрий Юрьевич",Q4327591,2011-12-04,2016-10-05
->,"Евгений Алексеевич Фёдоров->Фёдоров, Евгений Алексеевич",Q4493964,2011-12-21,2016-10-05
->,"Евгений Сергеевич Москвичёв->Москвичёв, Евгений Сергеевич",Q19818048,2011-12-21,2016-10-05
->,"Екатерина Филипповна Лахова->Лахова, Екатерина Филипповна",Q4255359,2011-12-21,2016-10-05
->,"Елена Владимировна Афанасьева->Афанасьева, Елена Владимировна",Q4072680,2011-12-04,2016-10-05
->,"Елена Григорьевна Драпеко->Драпеко, Елена Григорьевна",Q4167730,2011-12-15,2016-10-05
->,"Жорес Иванович Алфёров->Алфёров, Жорес Иванович",Q183279,1995->2011-12-04,2019->2016-10-05
->,"Зугура Ягануровна Рахматуллина->Рахматуллина, Зугура Ягануровна",Q18741317,2011-12-21,2016-10-05
->,"Иван Дмитриевич Грачёв->Грачёв, Иван Дмитриевич",Q4148178,2011-12-15,2016-10-05
->,"Иван Иванович Мельников->Мельников, Иван Иванович",Q4289876,2011-12-04,2016-10-05
->,"Иван Константинович Сухарев->Сухарев, Иван Константинович",Q18635188,2011-12-04,2016-10-05
->,"Иванов, Сергей Владимирович (политик)->Иванов Сергей Владимирович",Q61914148,2011-12-15,2016-10-05
->,"Игорь Александрович Ананских->Ананских, Игорь Александрович",Q4064792,2011-12-04,2016-10-05
->,"Игорь Владимирович Лебедев->Лебедев, Игорь Владимирович",Q520016,2011-12-04,2016-10-05
->,"Илья Владимирович Пономарёв->Пономарёв, Илья Владимирович",Q4371978,2007-12-24->2011-12-15,2016-10-05
->,"Иосиф Давыдович Кобзон->Кобзон, Иосиф Давыдович",Q1980296,2011-12-21,2016-10-05
->,"Ирина Константиновна Роднина->Роднина, Ирина Константиновна",Q233812,2011-12-21,2016-10-05
->,"Ирина Яровая->Яровая, Ирина Анатольевна",Q4538691,2011-12-21,2016-10-05
->,"Константин Константинович Ильковский->Ильковский, Константин Константинович",Q4199890,2011-12-15,2016-10-05
->,"Косачев, Константин Иосифович->Косачёв, Константин Иосифович",Q736840,2011-12-21,2016-10-05
